Título Público do Projeto;Descrição;Status do Projeto;Empresa Contratante;Porte da Empresa;UF da Empresa;Projetos Contratados;Segmento CEIS;Data de Inicio;Unidade Embrapii;TRL - Inicial;TRL - Final;Área de Aplicação - Nível 1;Área de Aplicação - Nível 2;Tecnológia Habilitadora - Nível 1;Tecnológia Habilitadora - Nível 2
Plataforma de Antecipação de Recebíveis - fase 3;"Este projeto entra em sua Fase 3 visando conferir maturidade técnica e segurança jurídica à plataforma Keepay, consolidando-a como um hub de transações B2B robusto e escalável. Após estabelecer a conexão direta entre varejo e fornecedor, a Keepay agora evolui para garantir que este ecossistema opere com maior efi ciência, transparência e conformidade regulatória.
A Fase 3 é dedicada à:
● Formalizar Operações de Crédito: Através da implementação do módulo de Contrato de Garantia e integração com plataformas de assinatura eletrônica, assegurando que todas as negociações entre credores e devedores possuam validade jurídica plena.
● Elevar o Padrão de Monitoramento: Evolução da infraestrutura cloud utilizando Terraform e ferramentas de observabilidade avançada, permitindo a identifi cação proativa de falhas e a gestão precisa do pipeline de dados.
● Garantir a Precisão Financeira: Implementação de mecanismos de conciliação fi nanceira e tratamento rigoroso de exceções para evitar reprocessamentos e perdas, protegendo o capital transacionado.
● Validar a Resiliência do Sistema: Execução de ciclos de testes de estresse e segurança, assegurando que o produto suporte o volume de tráfego real e proteja os dados sensíveis de usuários e empresas.
Ao concluir a Fase 3, a Keepay entrega ao mercado uma solução completa e estabilizada, capaz de redefi nir o fl uxo de caixa do varejo brasileiro através de uma tecnologia que une inteligência de dados à segurança do sistema fi nanceiro.";Em andamento;REKEEP TECNOLOGIA LTDA;Pequena;PR;3;Não é CEIS;01/05/2026;CESAR;3;3;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Conectividade e cloud;Infraestrutura como Serviço (IaaS/PaaS/SaaS)
SERF-C;"A estabilidade de combustíveis líquidos é um fator crítico para a segurança, a eficiência operacional e a confiabilidade de sistemas de armazenamento e uso de diesel em diferentes setores da economia. 
Processos de degradação ao longo do tempo, associados à presença de contaminantes, água e impurezas, podem comprometer a qualidade do combustível, resultando em separação de fases, perdas de 
desempenho, aumento de falhas operacionais e elevação de custos de manutenção. Além dos impactos técnicos e econômicos, esses fenômenos podem gerar efeitos ambientais indesejáveis, como descarte 
inadequado de combustível, maior consumo de recursos e aumento de emissões decorrentes do uso ineficiente de energia.
Nesse contexto, o presente projeto propõe uma pesquisa aplicada voltada ao desenvolvimento e à avaliação de um sistema de provas de conceito inovador, com foco na mitigação de processos que afetam 
a estabilidade de misturas entre diesel-biodiesel durante seu armazenamento e uso. A iniciativa busca contribuir para o avanço de soluções tecnológicas mais seguras, eficientes e alinhadas aos princípios da 
sustentabilidade, promovendo maior confiabilidade operacional e redução de perdas ao longo do ciclo de vida do combustível. Ao integrar conhecimento científico, engenharia aplicada e validação experimental, o 
projeto reforça o papel da inovação tecnológica como elemento estratégico para a competitividade industrial e para a transição rumo a práticas energéticas mais responsáveis.";Em andamento;GJP ENGENHARIA & AVALIACOES LTDA;Microempresa;SP;3;Não é CEIS;13/04/2026;CIMATEC;3;4;Petróleo e gás;Armazenamento e distribuição de combustíveis;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Plataforma nanoestruturada para a detecção de Streptococcus pneumoniae;A empresa parceira, Percevia Diagnostics Ltda., em colaboração com a Unidade EMBRAPII da UFABC, propõe o desenvolvimento de uma tecnologia de diagnóstico inovadora baseada em biossensores eletroquímicos portáteis. A plataforma utiliza eletrodos impressos funcionalizados como elementos de biorreconhecimento molecular, permitindo a detecção rápida e sensível do patógeno Streptococcus pneumoniae em amostras não invasivas. A parceria visa integrar avanços em nanomateriais, bioeletroquímica e dispositivos de diagnóstico point-of-care, contribuindo para soluções de diagnóstico mais acessíveis, úteis e convenientes para ambientes clínicos descentralizados.;Em andamento;PEPTINA BIOTECH LTDA;Microempresa;SP;1;Não é CEIS;15/06/2026;CTIM-UFABC;3;5;Complexo industrial da saúde;Dispositivos médicos e biomateriais;Tecnologias ópticas e sensoriamento;Sensores Químicos e Biológicos
"""Cálculo das emissões de campo das operações agrícolas aplicadas ao cultivo de grãos”.";"Calcular as emissões de campo de gases de efeito estufa (GEE) associadas às operações agrícolas
de correção do solo, preparo de solo, plantio, adubação, tratos culturais, aplicação de herbicidas e colheita, para as culturas de milho e soja";Em andamento;ROBERT BOSCH LIMITADA;Grande;SP;21;Não é CEIS;11/07/2026;EMBRAPA ITECH-Agro;3;5;Produção agropecuária;Gestão e manejo agropecuário;Conectividade e cloud;Computação em Nuvem (Cloud Computing)
ARQUITETURA DE AGENTES GOVERNÁVEIS PARA EXECUÇÃO CONTROLADA DE PROCESSOS OPERACIONAIS;O projeto AGORA automatiza processos críticos do turismo, como reemissões, cancelamentos e validações financeiras. Unindo IA Neuro-Simbólica a modelos de WhiteLLMs, a solução possibilidade auditabilidade plena e mitiga riscos de alucinação. Essa evolução permitirá que pequenas agências operem com um nível de eficiência similar ao de grandes agências de turismo consolidadas.;Em andamento;META MUNDI SOLUCOES PARA VIAGENS LTDA;Microempresa;CE;1;Não é CEIS;01/09/2026;IF-CE;6;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;Agentes Autônomos e Sistemas Multiagente
Solução de Telemetria e Monitoramento de Equipamentos Médicos de Alto Valor Agregado;Desenvolvimento de um dispositivo para telemetria e monitoramento das condições de transporte e/ou utilização de equipamentos médicos de alto valor agregado (Ressonância Magnética e Tomografia Computadorizada).;Em andamento;CANON MEDICAL SYSTEMS DO BRASIL LTDA;Média;SP;3;Indústria;01/07/2026;EDGE-UFAL;3;6;Não classificado;Não classificado;Não classificado;Não classificado
Dispositivo Hemostático Fase 2;"O projeto tem como objetivo o desenvolvimento de um protótipo de dispositivo hemostático de aplicação  mecânica para uso em procedimentos cirúrgicos abertos, visando o controle de sangramentos hepáticos  por meio de compressão direta sobre o tecido. A iniciativa busca evoluir o protótipo já concebido em fase  anterior, avançando para a validação pré-clínica em modelo animal e para a estruturação inicial da  documentação técnica e normativa associada a dispositivos médicos.  Como resultado, espera-se obter um protótipo funcional validado em ambiente relevante, capaz de 
demonstrar sua eficácia hemostática e segurança de uso, além de estabelecer as bases técnicas para  futuras etapas de desenvolvimento e adequação regulatória.  O desenvolvimento do projeto contribuirá para  a redução de dependência de soluções importadas, ampliando o acesso a tecnologias médicas e fortalecendo a capacidade nacional de inovação na área da saúde.";Em andamento;LEECHTECH TECNOLOGIAS LTDA;Microempresa;BA;2;Não é CEIS;25/08/2026;CIMATEC;4;6;Complexo industrial da saúde;Dispositivos médicos e biomateriais;Manufatura e materiais avançados;Desenvolvimento de Produtos e Protótipos Funcionais
Colhedora de Cana - Agricultura Familiar;Desenvolver um equipamento de colheita mecanizada de cana-de-açúcar com baixo peso e alta manobrabilidade, adaptadas a um trator. O sistema de corte prevê o recolhimento por esteiras acopláveis, onde o material colhido pode ser triturado/picado no campo, perfazendo um sistema que corta, limpa e puxa a cana.;Em andamento;MAIS MAQUINAS INDUSTRIA E COMERCIO LTDA;Microempresa;SP;1;Não é CEIS;23/07/2026;IF-Suldeminas;4;6;Produção agropecuária;Automação e mecanização agrícola;Automação e Robótica;Outras Tecnologias de Automação
Planergy - Gestão Inteligente de Energia Elétrica;"Neste projeto será implementado um sistema de telemedição, a ser instalado
junto ao ponto de conexão de energia elétrica da unidade consumidora, onde
serão adquiridos os dados de consumo e geração de energia elétrica de
determinado cliente. Os dados do cliente serão transmitidos, em tempo real, e
adequados ao sistema online de monitoramento de dados e gestão de
contratos de energia elétrica que já é utilizado pela empresa. As informações de
telemedição serão utilizadas para avaliação online dos dados de consumo do
cliente e previsibilidade de custo. Adicionalmente, será desenvolvido um
sistema inteligente para a extração e processamento de dados provenientes de
faturas de energia elétrica, que combinado com os dados do sistema de
telemedição, serão utilizados para fins de auditoria. Por fim, será desenvolvido
um sistema para extração de dados de inversores de sistemas fotovoltaicos
para contabilizar a energia gerada e melhor definir o plano de gestão de energia
do cliente.";Em andamento;FABIO DA SILVA ENGENHEIRO ELETRICISTA;Pequena;RS;1;Não é CEIS;14/07/2026;ITEC-FURG;3;6;Não classificado;Não classificado;Não classificado;Não classificado
Melhoramento Genético RJ - Fase 2;"O Brasil tem se destacado, nas últimas décadas, como um dos principais protagonistas mundiais na produção de madeira industrial e na elevada produtividade de florestas plantadas. Em 2021, o país alcançou uma produtividade média de 38,9 m3 ha−1 ano−1, o maior patamar registrado desde 2014, resultado diretamente associado aos avanços na clonagem e aos programas de melhoramento genético baseados na hibridação interespecífica (Assis, 2015). Esse desempenho reforça a importância estratégica do melhoramento genético florestal como ferramenta central para a competitividade e sustentabilidade do setor.
Diante desse cenário e do potencial desses materiais para diversificação e aumento da produtividade florestal, torna-se essencial avaliar o desempenho desses genótipos em condições específicas de cultivo e em diferentes ambientes de plantio. Para que a empresa possa incorporar novos clones ou espécies em escala operacional com segurança, é fundamental consolidar os resultados obtidos, ampliar as avaliações para idades mais avançadas, analisar a estabilidade produtiva entre ambientes e caracterizar atributos tecnológicos da madeira. Na Fase 1 deste projeto foi realizada a introdução e implantação de testes clonais envolvendo materiais genéticos de Eucalyptus.
A continuidade do desenvolvimento tecnológico requer, entretanto, a consolidação e validação dos materiais genéticos mais promissores identificados na fase inicial do projeto. A avaliação em idades mais avançadas permite uma caracterização mais robusta do desempenho silvicultural dos clones, incluindo parâmetros de crescimento, sobrevivência, forma do fuste e adaptação a diferentes condições ambientais. Além disso, a seleção de materiais superiores deve ser acompanhada por testes de validação em escala ampliada, de modo a verificar o desempenho desses materiais em condições mais próximas da realidade operacional da empresa.";Em andamento;TREE AGROFLORESTAL S.A.;Pequena;RJ;4;Não é CEIS;01/09/2026;UFV - Fibras Florestais;5;6;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Yberaba;A Ydrogenio Soluções em Descarbonização Ltda. Atua no desenvolvimento de equipamentos para processamento de matérias-primas renováveis e tecnologias voltadas a produtos com baixa intensidade de carbono. Atualmente, a Ydrogenio possui parcerias estratégicas na região do Triângulo Mineiro que permitirão implementar no município de Uberaba/MG uma unidade industrial para a produção de químicos em conformidade com princípios da transição energética. Em parceria com o SENAI CIMATEC, a Ydrogenio busca desenvolver rotas tecnológicas voltadas à produção de tanto de ureia verde quanto de metanol verde e seus derivados, atendendo às oportunidades locais em termos de espaço físico disponível, fornecimento de energia de baixo carbono, e sinergias com o setor sucroalcooleiro para aproveitamento de dióxido de carbono biogênico.;Em andamento;YDROGENIO SOLUCOES EM DESCARBONIZACAO LTDA;Microempresa;SP;1;Não é CEIS;06/08/2026;CIMATEC;3;4;Não classificado;Não classificado;Não classificado;Não classificado
Desenvolvimento e validação de um bioestimulante à base de xarope de milho  para aplicação na cultura da cana-de-açúcar;"Desenvolver e validar um produto agrícola à base de xarope de milho, avaliando sua viabilidade operacional, estabilidade, desempenho agronômico e mecanismos de ação em cana-de-açúcar e soja, estabelecendo protocolos técnicos para sua utilização em escala 
comercial.";Em andamento;NEOMILLE S.A.;Média;GO;1;Não é CEIS;25/08/2026;SENAI ISI BIOMASSA;3;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
